Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2018;82.808.413
01 Andalucía;Dato base;2018;11.681.256
02 Aragón;Dato base;2018;545.530
03 Asturias, Principado de;Dato base;2018;299.357
04 Balears, Illes;Dato base;2018;13.851.598
05 Canarias;Dato base;2018;13.752.022
06 Cantabria;Dato base;2018;381.181
07 Castilla y León;Dato base;2018;1.374.464
08 Castilla - La Mancha;Dato base;2018;235.011
09 Cataluña;Dato base;2018;19.196.344
10 Comunitat Valenciana;Dato base;2018;9.206.908
11 Extremadura;Dato base;2018;468.286
12 Galicia;Dato base;2018;1.512.511
13 Madrid, Comunidad de;Dato base;2018;7.139.775
14 Murcia, Región de;Dato base;2018;1.134.189
15 Navarra, Comunidad Foral de;Dato base;2018;323.730
16 País Vasco;Dato base;2018;1.552.389
17 Rioja, La;Dato base;2018;142.926
18 Ceuta;Dato base;2018;""
19 Melilla;Dato base;2018;""
