Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;Total Nacional;Total decil;2022;2.128,37
Total;01 Andalucía;Total decil;2022;1.914,87
Total;02 Aragón;Total decil;2022;2.029,96
Total;03 Asturias, Principado de;Total decil;2022;2.115,30
Total;04 Balears, Illes;Total decil;2022;2.311,67
Total;05 Canarias;Total decil;2022;1.869,28
Total;06 Cantabria;Total decil;2022;2.112,50
Total;07 Castilla y León;Total decil;2022;2.075,70
Total;08 Castilla - La Mancha;Total decil;2022;1.960,51
Total;09 Cataluña;Total decil;2022;2.281,33
Total;10 Comunitat Valenciana;Total decil;2022;1.952,79
Total;11 Extremadura;Total decil;2022;1.845,34
Total;12 Galicia;Total decil;2022;2.056,47
Total;13 Madrid, Comunidad de;Total decil;2022;2.381,25
Total;14 Murcia, Región de;Total decil;2022;1.876,39
Total;15 Navarra, Comunidad Foral de;Total decil;2022;2.285,45
Total;16 País Vasco;Total decil;2022;2.545,83
Total;17 Rioja, La;Total decil;2022;2.084,79
Total;18 Ceuta;Total decil;2022;2.232,79
Total;19 Melilla;Total decil;2022;2.293,65
